tmdbId,title,overview,cast,director
766,Army of Darkness,"Ash is transported back to medieval days, where he is captured by the dreaded Lord Arthur. Aided by the deadly chainsaw that has become his only friend, Ash is sent on a perilous mission to recover the Book of the Dead, a powerful tome that gives its owner the power to summon an army of ghouls.","Bruce Campbell,Embeth Davidtz,Marcus Gilbert",
768,From Hell,Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.,"Johnny Depp,Heather Graham,Ian Holm",Albert Hughes
779,Vampyr,"Traveler Allan Gray arrives in the village of Courtempierre and takes lodgings in a small inn. Gray has a great interest in the supernatural, particularly vampires. He's barely settled in when he feels a sinister force descending upon him. In the night an old man enters his room to tell him 'she must not die'. One of the old man's daughters, Leone, has been bitten by a vampire. In order to break the curse, Gray and Leone's sister Gisele must find the original vampire and drive a stake through her heart.","Nicolas de Gunzburg,Maurice Schutz,Rena Mandel",
790,The Fog,"Strange things begin to occurs as a tiny California coastal town prepares to commemorate its centenary. Inanimate objects spring eerily to life; Rev. Malone stumbles upon a dark secret about the town's founding; radio announcer Stevie witnesses a mystical fire; and hitchhiker Elizabeth discovers the mutilated corpse of a fisherman. Then a mysterious iridescent fog descends upon the village, and more people start to die.","Adrienne Barbeau,Jamie Lee Curtis,Hal Holbrook",
791,The Fog,"Trapped within an eerie mist, the residents of Antonio Bay have become the unwitting victims of a horrifying vengeance. One hundred years earlier, a ship carrying lepers was purposely lured onto the rocky coastline and sank, drowning all aboard. Now they're back â€“ long-dead mariners who've waited a century for their revenge.","Tom Welling,Maggie Grace,Selma Blair",Rupert Wainwright
794,The Omen,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesnâ€™t know is that their new son is the son of the devil.","Gregory Peck,Lee Remick,David Warner",Richard Donner
805,Rosemary's Baby,"A young couple, Rosemary and Guy, moves into an infamous New York apartment building, known by frightening legends and mysterious events, with the purpose of starting a family.","Mia Farrow,John Cassavetes,Ruth Gordon",
806,The Omen,A diplomatic couple adopts the son of the devil without knowing it. A remake of the classic horror film of the same name from 1976.,"Liev Schreiber,Julia Stiles,Seamus Davey-Fitzpatrick",John Moore
814,An American Werewolf in London,Two American tourists in England are attacked by a werewolf that none of the locals will admit exists.,"David Naughton,Jenny Agutter,Griffin Dunne",
827,Diabolique,"The cruel and abusive headmaster of a boarding school, Michel Delassalle, is murdered by an unlikely duo -- his meek wife and the mistress he brazenly flaunts. The women become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears.","VÃ©ra Clouzot,Simone Signoret,Jean Brochard",
834,Underworld: Evolution,"As the war between the vampires and the Lycans rages on, Selene, a former member of the Death Dealers (an elite vampire special forces unit that hunts werewolves), and Michael, the werewolf hybrid, work together in an effort to unlock the secrets of their respective bloodlines.","Kate Beckinsale,Scott Speedman,Tony Curran",
837,Videodrome,"As the president of a trashy TV channel, Max Renn is desperate for new programming to attract viewers. When he happens upon ""Videodrome,"" a TV show dedicated to gratuitous torture and punishment, Max sees a potential hit and broadcasts the show on his channel. However, after his girlfriend auditions for the show and never returns, Max investigates the truth behind Videodrome and discovers that the graphic violence may not be as fake as he thought.","James Woods,Sonja Smits,Debbie Harry",
919,Blood: The Last Vampire,"In Japan, the vampire-hunter Saya, who is a powerful original, is sent by her liaison with the government, David, posed as a teenage student to the Yokota High School on the eve of Halloween to hunt down vampires. Saya asks David to give a new katana to her. Soon she saves the school nurse Makiho Amano from two vampires disguised of classmates and Makiho witnesses her fight against the powerful demon.","Youki Kudoh,Saemi Nakamura,Joe Romersa",Hiroyuki Kitakubo
923,Dawn of the Dead,"During an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia SWAT team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall.","David Emge,Ken Foree,Scott H. Reiniger",
924,Dawn of the Dead,"A group of survivors take refuge in a shopping mall after the world is taken over by aggressive, flesh-eating zombies.","Sarah Polley,Ving Rhames,Jake Weber",Zack Snyder
927,Gremlins,"When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, and unleashes a horde of mischievous gremlins on a small town.","Zach Galligan,Phoebe Cates,Hoyt Axton",Joe Dante
928,Gremlins 2: The New Batch,"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!","Zach Galligan,Phoebe Cates,John Glover",Joe Dante
931,Don't Look Now,"Laura and John, grieved by a terrible loss, meet in Venice, where John is in charge of the restoration of a church, two mysterious sisters, one of whom gives them a message sent from the afterlife.","Julie Christie,Donald Sutherland,Hilary Mason",Nicolas Roeg
948,Halloween,"Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.","Donald Pleasence,Jamie Lee Curtis,Nancy Kyes",
964,The Phantom of the Opera,"A grotesquely disfigured composer known as ""The Phantom"" haunts Paris' opera house, where he's secretly grooming Christine Daae to be an opera diva. Luring her to his remote underground lair, The Phantom declares his love. But Christine loves Raoul de Chagny and plans to elope with him. When The Phantom learns this, he abducts Christine.","Lon Chaney,Mary Philbin,Norman Kerry",Rupert Julian
985,Eraserhead,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.","Jack Nance,Charlotte Stewart,Allen Joseph",
1091,The Thing,"Members of an American scientific research outpost in Antarctica find themselves battling a parasitic alien organism capable of perfectly imitating its victims. They soon discover that this task will be harder than they thought, as they don't know which members of the team have already been assimilated and their paranoia threatens to tear them apart.","Kurt Russell,Keith David,Wilford Brimley",John Carpenter
1248,Hannibal Rising,"The story of the early, murderous roots of the cannibalistic killer, Hannibal Lecter â€“ from his hard-scrabble Lithuanian childhood, where he witnesses the repulsive lengths to which hungry soldiers will go to satiate themselves, through his sojourn in France, where as a med student he hones his appetite for the kill.","Gaspard Ulliel,Aaran Thomas,Gong Li",Peter Webber
1255,The Host,"Following the dumping of gallons of toxic waste in the river, a giant mutated squid-like creature appears and begins attacking the populace. Gang-du's daughter Hyun-seo is snatched up by the creature; with his family to assist him, he sets off to find her.","Song Kang-ho,Byun Hee-bong,Park Hae-il",
1359,American Psycho,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.","Christian Bale,Willem Dafoe,Jared Leto",
1433,The Devil's Backbone,"Spain, 1939. In the last days of the Spanish Civil War, the young Carlos arrives at the Santa LucÃ­a orphanage, where he will make friends and enemies as he follows the quiet footsteps of a mysterious presence eager for revenge.","Marisa Paredes,Eduardo Noriega,Federico Luppi",
